Wavelength[nm],Intensity[normalized],Phase[rad]
639.94,0.24548363,0.40041037
640.40,0.24369974,0.41899412
640.86,0.23980821,0.43846442
641.32,0.23654197,0.45885425
641.78,0.23179317,0.47908009
642.23,0.22505769,0.49901770
642.69,0.22115290,0.51871238
643.15,0.22453065,0.53706949
643.61,0.23227387,0.55455649
644.07,0.23653730,0.57115524
644.53,0.23356884,0.58702460
644.99,0.22743587,0.60204600
645.44,0.22378471,0.61644326
645.90,0.22322967,0.62920619
646.36,0.22367347,0.64117060
646.82,0.22544324,0.65167096
647.28,0.22932168,0.65834372
647.74,0.23252615,0.66365426
648.20,0.23318122,0.66851320
648.65,0.23322856,0.67302807
649.11,0.23340681,0.67725393
649.57,0.23299581,0.68103677
650.03,0.23294954,0.68450897
650.49,0.23463554,0.68762754
650.95,0.23973550,0.69125324
651.40,0.24801247,0.69552737
651.86,0.25451634,0.69978874
652.32,0.25714620,0.70444070
652.78,0.26127993,0.70920529
653.24,0.27085009,0.71374601
653.69,0.28478732,0.71801447
654.15,0.30086735,0.72270225
654.61,0.31474003,0.72752853
655.07,0.32327242,0.73508008
655.53,0.32901098,0.74534996
655.99,0.33622179,0.75572443
656.44,0.34552596,0.76526516
656.90,0.35484425,0.77399006
657.36,0.36588464,0.78165107
657.82,0.38143307,0.78807381
658.27,0.39666715,0.79332394
658.73,0.40519369,0.79687566
659.19,0.40880103,0.79821601
659.65,0.41231373,0.79751543
660.11,0.41649643,0.79494353
660.56,0.42241766,0.79035370
661.02,0.43155612,0.78366235
661.48,0.43813039,0.77481215
661.94,0.43514832,0.76354099
662.39,0.42456083,0.74960933
662.85,0.41151633,0.73330225
663.31,0.39848486,0.70892946
663.77,0.38925047,0.68000149
664.22,0.38578571,0.64922078
664.68,0.38432941,0.61661628
665.14,0.38126430,0.58355491
665.60,0.37664455,0.54951369
666.05,0.37045129,0.51497898
666.51,0.36228312,0.48054514
666.97,0.35475717,0.44593665
667.43,0.35140395,0.41195101
667.88,0.35195070,0.37932440
668.34,0.35341412,0.34760901
668.80,0.35495756,0.31688331
669.26,0.35937570,0.28750896
669.71,0.36872154,0.25970803
670.17,0.38161826,0.23373628
670.63,0.39608909,0.20993969
671.08,0.41072584,0.18893467
671.54,0.42149028,0.17522325
672.00,0.42430281,0.17066481
672.46,0.42209937,0.16885188
672.91,0.42337359,0.16883617
673.37,0.43346636,0.17060033
673.83,0.45033772,0.17344495
674.28,0.47117845,0.17730875
674.74,0.49781319,0.18154274
675.20,0.52952198,0.18569110
675.65,0.55917360,0.18918966
676.11,0.58285971,0.19179915
676.57,0.60648699,0.19256766
677.03,0.63777537,0.19128234
677.48,0.67288848,0.18740842
677.94,0.69981511,0.18013695
678.40,0.71502180,0.16907244
678.85,0.72638731,0.15357419
679.31,0.74046914,0.13311972
679.77,0.75948948,0.10720666
680.22,0.78557623,0.06349409
680.68,0.81889839,0.00705091
681.14,0.85822015,-0.05440400
681.59,0.89853623,-0.12049536
682.05,0.92951029,-0.19099026
682.50,0.95180375,-0.26440066
682.96,0.97527246,-0.33976559
683.42,0.99536468,-0.41695164
683.87,1.00000000,-0.49505310
684.33,0.98929849,-0.57292043
684.79,0.97483938,-0.65005620
685.24,0.96901775,-0.72496449
685.70,0.97512143,-0.79730635
686.16,0.98604845,-0.86574489
686.61,0.98605431,-0.92994742
687.07,0.96622101,-0.98859336
687.52,0.93396339,-1.04042335
687.98,0.89882569,-1.08497764
688.44,0.86894929,-1.12092497
688.89,0.84929588,-1.13870931
689.35,0.83476491,-1.12966911
689.80,0.81889306,-1.11156233
690.26,0.79822338,-1.08535869
690.72,0.77188625,-1.05211748
691.17,0.74491668,-1.01228312
691.63,0.72239277,-0.96688360
692.08,0.70081688,-0.91714941
692.54,0.67123954,-0.86347064
693.00,0.63250175,-0.80682492
693.45,0.59439965,-0.74827360
693.91,0.56711377,-0.68966103
694.36,0.55398560,-0.63076989
694.82,0.54818312,-0.57281583
695.28,0.53667858,-0.51634459
695.73,0.51328070,-0.46217590
696.19,0.48788296,-0.41089299
696.64,0.47374105,-0.36328330
697.10,0.46978955,-0.32006334
697.55,0.46976170,-0.28235619
698.01,0.47369141,-0.26701412
698.46,0.47709136,-0.27308815
698.92,0.47076825,-0.28371202
699.38,0.45302570,-0.29859388
699.83,0.42814633,-0.31556388
700.29,0.40442264,-0.33384092
700.74,0.39230470,-0.35189266
701.20,0.39106101,-0.36895649
701.65,0.39008668,-0.38415673
702.11,0.38377448,-0.39652083
702.56,0.37410411,-0.40113188
703.02,0.36508092,-0.39531531
703.47,0.35778631,-0.38406696
703.93,0.35280506,-0.36691559
704.38,0.35406525,-0.34375768
704.84,0.35880702,-0.31385202
705.29,0.35405953,-0.27640077
705.75,0.33553265,-0.23161318
706.21,0.31383528,-0.17850947
706.66,0.29604036,-0.11715066
707.12,0.27979865,-0.04190015
707.57,0.26265637,0.07301931
708.03,0.24506315,0.19550931
708.48,0.22854564,0.32407112
708.94,0.21214846,0.45759013
709.39,0.19333122,0.59414999
709.84,0.17414179,0.73223158
710.30,0.15889690,0.87009293
710.75,0.14883108,1.00705915
711.21,0.14146302,1.14196413
711.66,0.13265015,1.27331128
712.12,0.12085393,1.38815662
712.57,0.10843517,1.49343691
713.03,0.09791867,1.59243599
713.48,0.08946166,1.68471780
713.94,0.08195658,1.76997743
714.39,0.07461611,1.84779149
714.85,0.06799108,1.91758536
715.30,0.06312196,1.97815990
715.76,0.05990727,2.02966128
716.21,0.05775852,2.07124421
716.66,0.05660296,2.09701454
717.12,0.05627153,2.09085428
717.57,0.05670534,2.07485221
718.03,0.05800038,2.04972680
718.48,0.05954666,2.01659057
718.94,0.06058019,1.97583599
719.39,0.06147085,1.92859282
719.85,0.06326929,1.87549473
720.30,0.06581993,1.81738248
720.75,0.06786942,1.75504930
721.21,0.06884041,1.68953816
721.66,0.06928648,1.62381468
722.12,0.06999537,1.55956406
722.57,0.07064221,1.49332924
723.02,0.07015062,1.42563622
723.48,0.06830861,1.35697386
723.93,0.06613903,1.28819601
724.39,0.06484006,1.21901491
724.84,0.06450688,1.15085930
725.29,0.06380649,1.08421881
725.75,0.06117110,1.01955257
726.20,0.05655553,0.95736929
726.66,0.05138860,0.90275285
727.11,0.04679470,0.85422767
727.56,0.04313994,0.80818951
728.02,0.04035944,0.76492183
728.47,0.03815251,0.72482072
728.93,0.03624734,0.68772687
729.38,0.03435283,0.65383911
729.83,0.03227326,0.62338849
730.29,0.02992331,0.59637416
730.74,0.02725909,0.57228645
731.19,0.02472861,0.55110550
731.65,0.02311875,0.53724327
732.10,0.02278978,0.52821303
732.55,0.02336040,0.52144703
733.01,0.02416336,0.51595320
733.46,0.02516065,0.51222199
733.92,0.02698527,0.50983783
734.37,0.02987575,0.50820136
734.82,0.03304902,0.50758801
735.28,0.03558247,0.50771017
735.73,0.03781010,0.50854640
736.18,0.04109830,0.51037543
736.64,0.04629442,0.51170905
737.09,0.05309568,0.51254187
737.54,0.06044438,0.51363279
737.99,0.06718077,0.51506587
738.45,0.07267103,0.51615305
738.90,0.07680610,0.51677740
739.35,0.08017079,0.51695783
739.81,0.08314951,0.51657224
740.26,0.08485857,0.51527122
740.71,0.08453748,0.51334072
741.17,0.08197695,0.51049729
741.62,0.07725233,0.50537787
742.07,0.07191716,0.49407406
742.53,0.06805280,0.48193518
742.98,0.06588981,0.46833127
743.43,0.06439857,0.45413689
743.88,0.06311885,0.43929279
744.34,0.06216069,0.42348760
744.79,0.06133862,0.40678079
745.24,0.05990212,0.38935193
745.70,0.05752868,0.37128504
746.15,0.05506527,0.35239222
746.60,0.05356098,0.33334719
747.05,0.05381894,0.31498419
747.51,0.05637487,0.29646529
747.96,0.06065023,0.27713507
748.41,0.06541359,0.25767082
748.86,0.07011886,0.23794629
749.32,0.07510685,0.21774483
749.77,0.08123987,0.19752004
750.22,0.08908136,0.17704535
750.67,0.09817667,0.15649981
751.13,0.10685764,0.13565142
751.58,0.11277520,0.11477325
752.03,0.11545778,0.09385888
752.48,0.11767075,0.07402984
752.94,0.12182782,0.05458200
753.39,0.12665198,0.03496330
753.84,0.13072162,0.01575528
754.29,0.13551768,-0.00357957
754.74,0.14315249,-0.02290626
755.20,0.15510663,-0.04179088
755.65,0.16918992,-0.06059757
756.10,0.17919153,-0.07987266
756.55,0.18395600,-0.09970581
757.00,0.18840252,-0.11982947
757.46,0.19321916,-0.14154749
757.91,0.19515273,-0.16980812
758.36,0.19476251,-0.19878873
758.81,0.19519605,-0.22786179
759.26,0.19780251,-0.25718120
759.72,0.20224413,-0.28610478
760.17,0.20750259,-0.31479957
760.62,0.21239527,-0.34300397
761.07,0.21656160,-0.36997318
761.52,0.21988390,-0.39572148
761.98,0.22479625,-0.41977331
762.43,0.23598878,-0.44189685
762.88,0.25140938,-0.46063135
763.33,0.26340917,-0.47038833
763.78,0.26896728,-0.47733083
764.23,0.26969869,-0.48176480
764.69,0.26716436,-0.48334859
765.14,0.26296001,-0.48245273
765.59,0.26099688,-0.47899300
766.04,0.26433204,-0.47297893
766.49,0.27029607,-0.46402779
766.94,0.27547459,-0.45262961
767.39,0.28078820,-0.43858187
767.85,0.28806332,-0.42184149
768.30,0.29660119,-0.40255411
768.75,0.30161371,-0.37070471
769.20,0.29974132,-0.33617488
769.65,0.29466073,-0.30005255
770.10,0.28985179,-0.26306012
770.55,0.28652445,-0.22529562
771.01,0.28780185,-0.18781582
771.46,0.29206499,-0.15082006
771.91,0.29375684,-0.11463593
772.36,0.29406098,-0.08020614
772.81,0.29561868,-0.04776456
773.26,0.29376487,-0.01747920
773.71,0.28531791,0.00946788
774.16,0.27596063,0.02249059
774.61,0.27112907,0.02291538
775.06,0.26897179,0.02019926
775.52,0.26568475,0.01411378
775.97,0.26012485,0.00537193
776.42,0.25140629,-0.00551264
776.87,0.23845455,-0.01844325
777.32,0.22371625,-0.03331010
777.77,0.21160624,-0.04957622
778.22,0.20228971,-0.06694857
778.67,0.19214240,-0.08512024
779.12,0.18048076,-0.10376890
779.57,0.17013421,-0.12269434
780.02,0.16166714,-0.14154821
780.47,0.15355122,-0.15967620
780.92,0.14575647,-0.17699095
781.37,0.13832959,-0.19380459
781.83,0.12976350,-0.20966764
782.28,0.11923682,-0.22441759
782.73,0.10764486,-0.23787765
783.18,0.09537270,-0.24979506
783.63,0.08211843,-0.26022128
784.08,0.06903515,-0.26858543
784.53,0.05805602,-0.27513489
784.98,0.04938517,-0.27932762
785.43,0.04216944,-0.27871095
785.88,0.03618503,-0.26471806
786.33,0.03123251,-0.24851250
786.78,0.02698037,-0.23023975
787.23,0.02343987,-0.21041395
787.68,0.02054812,-0.18907126
788.13,0.01792617,-0.16643174
788.58,0.01549389,-0.14306184
789.03,0.01372058,-0.11869035
789.48,0.01271787,-0.09366823
789.93,0.01205941,-0.06856503
790.38,0.01174879,-0.04285520
